state	from	to	time
30000	Australia	NorthAmerica	0.18744715823772112
30000	Australia	NorthAmerica	0.13520362726589968
30000	Europe	Australia	0.1546841101673749
30000	Australia	NorthAmerica	0.39879768323683673
30000	NorthAmerica	Africa	0.3192371570391457
30000	Australia	Europe	0.45377126763740755
30000	Australia	Asia	0.450885781589829
30000	Australia	Asia	0.19593914532562795
30000	Australia	NorthAmerica	0.556264000215191
30000	Europe	Australia	0.16924920958259007
30000	Australia	NorthAmerica	0.6813772449155642
30000	Europe	Australia	0.9766784136817147
30000	Australia	NorthAmerica	0.1439906944436578
30000	Australia	Europe	0.22386681722455842
30000	Australia	Asia	0.16399136729648467
30000	Europe	Australia	0.2630371140684832
30000	Australia	Europe	0.0695769334816137
30000	Europe	Australia	0.20201418229793147
30000	Australia	Europe	0.1962207985690552
30000	Australia	NorthAmerica	0.18328539057245175
30000	Europe	Australia	0.30219553526715004
30000	Europe	Australia	0.41764324378064577
30000	Europe	Australia	0.31050493405562835
30000	Australia	Asia	0.6567934276680547
30000	Europe	Australia	0.6365685592172052
30000	Australia	NorthAmerica	0.3963347169773355
30000	Europe	Australia	0.5005901275728513
30000	Australia	Europe	0.3498101063613903
30000	Europe	Australia	0.15373104095402834
30000	Australia	NorthAmerica	0.27148377431945353
30000	Europe	Australia	0.22543728393634085
30000	Australia	Europe	0.36028021886311046
30000	Australia	NorthAmerica	0.23734349809772742
30000	Australia	Europe	0.3075601121422385
30000	Australia	Europe	0.3038453768203388
30000	Europe	Australia	0.24574516185208714
30000	Australia	Europe	0.3187278710023345
30000	Australia	NorthAmerica	0.21534645517236017
30000	Australia	Europe	0.6288988893779752
30000	Europe	Australia	0.3923080256853351
30000	Australia	Europe	0.209920060374676
30000	Australia	NorthAmerica	0.18289642439312198
30000	Europe	Australia	0.2022650372075404
30000	Australia	Europe	0.3056697716555178
30000	Australia	Europe	0.6974345859256711
30000	Australia	Europe	0.3558112456189316
30000	Europe	Australia	0.3379450989556524
30000	Europe	Australia	0.9399619269122992
30000	Europe	Australia	0.2609525154422985
30000	Australia	Europe	0.3248000019223646
30000	Australia	Europe	0.36130053372270854
30000	Australia	Europe	0.7615293639229245
30000	Australia	Europe	0.45357586765833896
30000	Australia	Europe	0.31398983599625346
30000	Europe	Australia	0.39194258280109384
30000	Australia	NorthAmerica	0.4674645129771272
30000	Europe	Australia	0.2061725404741604
40000	Australia	Asia	0.5430089017243364
40000	Australia	Europe	0.4613640202980423
40000	Australia	NorthAmerica	0.1628678366008346
40000	Australia	NorthAmerica	0.20748699812831606
40000	Australia	Europe	0.3492144683461313
40000	Australia	NorthAmerica	0.20269157115099223
40000	Europe	Australia	0.23856266236527582
40000	Australia	Europe	0.20260818774557476
40000	Europe	Australia	0.19948891431363605
40000	Australia	NorthAmerica	0.42465016770333025
40000	Australia	Asia	0.2757602589443221
40000	Europe	Australia	0.7565173429746206
40000	Australia	Europe	0.5306919978087699
40000	Europe	Australia	0.34423890891610015
40000	Australia	NorthAmerica	0.1839731050524161
40000	Australia	Europe	0.3244242567179766
40000	Europe	Australia	0.17216044389482063
40000	Australia	Europe	0.31396928136762997
40000	Europe	Australia	0.19260467898605374
40000	Australia	NorthAmerica	0.24907122388275543
40000	Australia	NorthAmerica	0.23729821124375053
40000	Europe	Australia	0.2595306120114825
40000	Europe	Australia	0.29423495805301636
40000	Australia	Asia	0.15826529969936576
40000	Australia	Europe	0.16735358473898718
40000	Australia	Europe	0.16109811406069546
40000	Australia	Europe	0.0722102905848303
40000	Australia	Europe	0.28838737602157716
40000	Europe	Australia	0.26091485138319503
40000	Australia	NorthAmerica	0.22789298220057283
40000	Europe	Australia	0.14537831092736464
40000	Australia	Europe	1.1031196270149077
40000	Europe	Australia	1.0370946757555384
40000	Australia	Asia	0.9817027581943067
40000	Australia	NorthAmerica	0.15742902286677188
40000	Australia	Europe	0.17266910679270062
40000	Australia	Europe	0.17256132271924007
40000	Europe	Australia	0.19705429740874375
40000	Australia	NorthAmerica	0.17294542604583213
40000	Australia	Europe	0.2347379831144289
40000	Australia	SouthAmerica	0.13322318113816795
40000	Australia	NorthAmerica	0.13893992035458508
40000	Australia	Europe	0.20480394808649727
40000	Australia	NorthAmerica	0.23089087227240696
40000	Australia	Europe	0.27161995077538953
40000	Australia	Europe	0.12793774285780896
40000	Australia	Europe	0.4913776180419106
40000	Australia	Asia	0.13658447070277036
40000	Australia	NorthAmerica	0.18086603816990318
40000	Europe	Australia	0.3833748794977895
40000	Australia	NorthAmerica	0.2446534416806036
40000	Australia	SouthAmerica	0.09034649837319889
40000	Australia	NorthAmerica	0.20000718558729488
40000	Australia	NorthAmerica	0.1732793229840114
40000	Australia	Europe	0.20024483178312852
40000	Australia	Europe	0.1290834241340964
40000	Europe	Australia	0.15182943720075529
40000	Australia	NorthAmerica	0.17505698124571073
40000	Australia	Europe	0.2532716865999065
40000	Europe	Australia	0.1916827911523713
40000	Australia	Europe	0.22381761038662323
40000	Australia	NorthAmerica	0.256332544158631
40000	Australia	NorthAmerica	0.16374293530860703
40000	Europe	Australia	0.26656046045666215
40000	Australia	Europe	0.30242097040926624
40000	Australia	Europe	0.25748942404696706
40000	Europe	Australia	0.15328365291494186
40000	Australia	Europe	0.2905791466155928
40000	Europe	Australia	0.1494850927865594
40000	Australia	Europe	0.1324456852258084
40000	Australia	NorthAmerica	0.22267282226740182
40000	Europe	Australia	0.1857891575551037
40000	Australia	NorthAmerica	0.16136450400746707
40000	Australia	NorthAmerica	0.14000663687219042
40000	Australia	Asia	0.24972834933479207
40000	Australia	Europe	0.36989054103271124
40000	Europe	Australia	0.15320189114932592
40000	Europe	Australia	0.16744370666416375
40000	Australia	NorthAmerica	0.3532038592542037
40000	NorthAmerica	Africa	0.2100588863882439
40000	Australia	Europe	0.1867482058208274
40000	Australia	Asia	0.3026150242348423
40000	Australia	Asia	0.1679433851158577
40000	Australia	Europe	0.29618936474016794
40000	Australia	Europe	0.1759860690857294
40000	Australia	NorthAmerica	0.21343104092118265
40000	Australia	NorthAmerica	0.14502520026172566
40000	Europe	Australia	0.17221399456300857
40000	Australia	NorthAmerica	0.33478833192931845
40000	NorthAmerica	Africa	0.3228628194093076
40000	Australia	Europe	0.4256150209202643
40000	Australia	Asia	1.1774898155681097
40000	Australia	Asia	0.1801618523071787
40000	Australia	NorthAmerica	0.21090461122720336
40000	Europe	Australia	0.17518371441345068
40000	Australia	NorthAmerica	0.5311302654620809
40000	Europe	Australia	0.17690279518969163
40000	Europe	Australia	0.11636564485300327
40000	Australia	Europe	0.20195645980618143
40000	Australia	Europe	0.1766939991133563
40000	Australia	NorthAmerica	0.15200050914498464
40000	Australia	NorthAmerica	0.23258798488758872
40000	Europe	Australia	0.24835262244234496
40000	Australia	Europe	0.3652407577637561
40000	Australia	Asia	1.1681130802430624
40000	Australia	Europe	1.2055910200621158
40000	Australia	Europe	0.46737192351780577
40000	Europe	Australia	0.4688426445681975
40000	Europe	Australia	0.36068930738466404
40000	Australia	Europe	0.3503010775819549
40000	Australia	NorthAmerica	0.35483538705845175
40000	Europe	Australia	0.16039237497337716
40000	Europe	Australia	0.37978560166872105
40000	Australia	NorthAmerica	0.405791264299928
40000	Australia	Europe	0.21392667914078042
40000	Europe	Australia	0.23279424071525015
40000	Australia	Europe	0.26286653495165835
40000	Australia	NorthAmerica	0.19780494563173723
40000	Australia	NorthAmerica	0.26811105515485784
40000	Australia	Europe	0.43266947646316817
40000	Australia	Europe	0.3192660429287045
40000	Europe	Australia	1.1296732786249133
40000	Australia	NorthAmerica	0.3752050435971069
40000	Australia	Europe	0.30240460251668083
40000	Asia	NorthAmerica	0.2758886097199582
40000	Australia	NorthAmerica	0.42757359917074483
40000	Europe	Australia	0.2928121302892078
40000	Europe	Australia	0.3866343270063886
40000	Australia	Europe	1.0595017690336608
40000	Europe	Australia	0.809720350995826
